"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
199,0.780392,152,0.596078,0.598416,0.002338,198,0.778907,0.001485
200,0.784314,154,0.603922,0.604614,0.000692,199,0.783877,0.000437
201,0.788235,155,0.607843,0.610846,0.003003,200,0.786348,0.001887
202,0.792157,157,0.615686,0.617114,0.001427,201,0.791266,0.000891
203,0.796078,158,0.619608,0.623416,0.003808,202,0.793712,0.002367
204,0.800000,160,0.627451,0.629753,0.002302,203,0.798578,0.001422
205,0.803922,162,0.635294,0.636125,0.000831,204,0.803412,0.000510
206,0.807843,163,0.639216,0.642532,0.003316,205,0.805816,0.002027
207,0.811765,165,0.647059,0.648974,0.001915,206,0.810601,0.001164
208,0.815686,167,0.654902,0.655451,0.000549,207,0.815355,0.000332
209,0.819608,168,0.658824,0.661964,0.003140,208,0.817720,0.001888
210,0.823529,170,0.666667,0.668511,0.001844,209,0.822427,0.001103
211,0.827451,172,0.674510,0.675093,0.000584,210,0.827104,0.000347
212,0.831373,173,0.678431,0.681711,0.003280,211,0.829432,0.001941
213,0.835294,175,0.686275,0.688364,0.002090,212,0.834065,0.001230
214,0.839216,177,0.694118,0.695053,0.000935,213,0.838669,0.000547
215,0.843137,178,0.698039,0.701776,0.003737,214,0.840960,0.002177
216,0.847059,180,0.705882,0.708535,0.002653,215,0.845522,0.001537
217,0.850980,182,0.713726,0.715329,0.001604,216,0.850057,0.000924
218,0.854902,184,0.721569,0.722159,0.000590,217,0.854564,0.000338
219,0.858824,185,0.725490,0.729024,0.003534,218,0.856807,0.002016
220,0.862745,187,0.733333,0.735924,0.002591,219,0.861275,0.001470
221,0.866667,189,0.741176,0.742860,0.001684,220,0.865716,0.000950
222,0.870588,191,0.749020,0.749832,0.000812,221,0.870132,0.000456
223,0.874510,192,0.752941,0.756839,0.003898,222,0.872331,0.002179
224,0.878431,194,0.760784,0.763881,0.003097,223,0.876709,0.001722
225,0.882353,196,0.768627,0.770960,0.002332,224,0.881063,0.001290
226,0.886275,198,0.776471,0.778073,0.001603,225,0.885393,0.000882
227,0.890196,200,0.784314,0.785223,0.000909,226,0.889699,0.000498
228,0.894118,202,0.792157,0.792408,0.000251,227,0.893981,0.000137
229,0.898039,203,0.796078,0.799629,0.003550,228,0.896114,0.001926
230,0.901961,205,0.803922,0.806885,0.002964,229,0.900362,0.001599
231,0.905882,207,0.811765,0.814178,0.002413,230,0.904587,0.001295
232,0.909804,209,0.819608,0.821506,0.001898,231,0.908790,0.001014
233,0.913725,211,0.827451,0.828870,0.001419,232,0.912971,0.000754
234,0.917647,213,0.835294,0.836269,0.000975,233,0.917131,0.000516
235,0.921569,215,0.843137,0.843705,0.000568,234,0.921270,0.000299
236,0.925490,217,0.850980,0.851177,0.000196,235,0.925387,0.000103
237,0.929412,218,0.854902,0.858684,0.003782,236,0.927438,0.001973
238,0.933333,220,0.862745,0.866228,0.003483,237,0.931525,0.001808
239,0.937255,222,0.870588,0.873808,0.003219,238,0.935592,0.001663
240,0.941176,224,0.878431,0.881423,0.002992,239,0.939638,0.001538
241,0.945098,226,0.886275,0.889075,0.002800,240,0.943665,0.001433
242,0.949020,228,0.894118,0.896762,0.002645,241,0.947673,0.001347
243,0.952941,230,0.901961,0.904486,0.002526,242,0.951661,0.001280
244,0.956863,232,0.909804,0.912247,0.002443,243,0.955630,0.001232
245,0.960784,234,0.917647,0.920043,0.002396,244,0.959581,0.001203
246,0.964706,236,0.925490,0.927875,0.002385,245,0.963514,0.001192
247,0.968627,238,0.933333,0.935744,0.002410,246,0.967428,0.001199
248,0.972549,240,0.941176,0.943649,0.002472,247,0.971325,0.001224
249,0.976471,242,0.949020,0.951590,0.002570,248,0.975203,0.001267
250,0.980392,244,0.956863,0.959567,0.002704,249,0.979065,0.001327
251,0.984314,246,0.964706,0.967581,0.002875,250,0.982909,0.001405
252,0.988235,248,0.972549,0.975631,0.003082,251,0.986736,0.001499
253,0.992157,250,0.980392,0.983718,0.003325,252,0.990546,0.001611
254,0.996078,252,0.988235,0.991841,0.003605,253,0.994340,0.001738
255,1.000000,255,1.000000,1.000000,0.000000,254,1.000000,0.000000
