"Input sRGB u8","Input sRGB f32","Linear u8","Linear f32","Actual Linear f32","Linear Error","Output sRGB u8","Output sRGB f32","Output Error"
200,0.784314,156,0.611765,0.615148,0.003383,199,0.782154,0.002160
201,0.788235,158,0.619608,0.621315,0.001707,200,0.787152,0.001084
202,0.792157,160,0.627451,0.627513,0.000062,201,0.792118,0.000039
203,0.796078,161,0.631373,0.633741,0.002368,202,0.794590,0.001489
204,0.800000,163,0.639216,0.640000,0.000784,203,0.799510,0.000490
205,0.803922,164,0.643137,0.646290,0.003153,204,0.801958,0.001963
206,0.807843,166,0.650980,0.652611,0.001630,205,0.806834,0.001010
207,0.811765,168,0.658824,0.658962,0.000138,206,0.811679,0.000085
208,0.815686,169,0.662745,0.665344,0.002599,207,0.814092,0.001595
209,0.819608,171,0.670588,0.671757,0.001169,208,0.818895,0.000713
210,0.823529,172,0.674510,0.678201,0.003691,209,0.821285,0.002244
211,0.827451,174,0.682353,0.684675,0.002322,210,0.826047,0.001404
212,0.831373,176,0.690196,0.691180,0.000984,211,0.830780,0.000592
213,0.835294,177,0.694118,0.697716,0.003599,212,0.833137,0.002157
214,0.839216,179,0.701961,0.704283,0.002322,213,0.837831,0.001385
215,0.843137,181,0.709804,0.710880,0.001077,214,0.842499,0.000639
216,0.847059,182,0.713726,0.717509,0.003783,215,0.844823,0.002236
217,0.850980,184,0.721569,0.724168,0.002599,216,0.849452,0.001528
218,0.854902,186,0.729412,0.730857,0.001446,217,0.854056,0.000846
219,0.858824,188,0.737255,0.737578,0.000323,218,0.858635,0.000188
220,0.862745,189,0.741176,0.744329,0.003153,219,0.860916,0.001829
221,0.866667,191,0.749020,0.751111,0.002092,220,0.865459,0.001207
222,0.870588,193,0.756863,0.757924,0.001061,221,0.869979,0.000610
223,0.874510,195,0.764706,0.764767,0.000062,222,0.874475,0.000035
224,0.878431,196,0.768627,0.771642,0.003014,223,0.876714,0.001717
225,0.882353,198,0.776471,0.778547,0.002076,224,0.881176,0.001177
226,0.886275,200,0.784314,0.785483,0.001169,225,0.885615,0.000660
227,0.890196,202,0.792157,0.792449,0.000292,226,0.890032,0.000164
228,0.894118,203,0.796078,0.799446,0.003368,227,0.892232,0.001885
229,0.898039,205,0.803922,0.806474,0.002553,228,0.896617,0.001422
230,0.901961,207,0.811765,0.813533,0.001769,229,0.900980,0.000981
231,0.905882,209,0.819608,0.820623,0.001015,230,0.905322,0.000560
232,0.909804,211,0.827451,0.827743,0.000292,231,0.909643,0.000161
233,0.913725,212,0.831373,0.834894,0.003522,232,0.911796,0.001929
234,0.917647,214,0.839216,0.842076,0.002860,233,0.916087,0.001560
235,0.921569,216,0.847059,0.849289,0.002230,234,0.920358,0.001211
236,0.925490,218,0.854902,0.856532,0.001630,235,0.924609,0.000881
237,0.929412,220,0.862745,0.863806,0.001061,236,0.928841,0.000571
238,0.933333,222,0.870588,0.871111,0.000523,237,0.933053,0.000280
239,0.937255,224,0.878431,0.878447,0.000015,238,0.937247,0.000008
240,0.941176,225,0.882353,0.885813,0.003460,239,0.939336,0.001840
241,0.945098,227,0.890196,0.893210,0.003014,240,0.943502,0.001596
242,0.949020,229,0.898039,0.900638,0.002599,241,0.947649,0.001370
243,0.952941,231,0.905882,0.908097,0.002215,242,0.951779,0.001163
244,0.956863,233,0.913725,0.915586,0.001861,243,0.955890,0.000973
245,0.960784,235,0.921569,0.923106,0.001538,244,0.959984,0.000801
246,0.964706,237,0.929412,0.930657,0.001246,245,0.964060,0.000646
247,0.968627,239,0.937255,0.938239,0.000984,246,0.968119,0.000508
248,0.972549,241,0.945098,0.945852,0.000754,247,0.972162,0.000387
249,0.976471,243,0.952941,0.953495,0.000554,248,0.976187,0.000284
250,0.980392,245,0.960784,0.961169,0.000384,249,0.980196,0.000196
251,0.984314,247,0.968627,0.968874,0.000246,250,0.984189,0.000125
252,0.988235,249,0.976471,0.976609,0.000138,251,0.988165,0.000070
253,0.992157,251,0.984314,0.984375,0.000062,252,0.992126,0.000031
254,0.996078,253,0.992157,0.992172,0.000015,253,0.996071,0.000008
255,1.000000,255,1.000000,1.000000,0.000000,255,1.000000,0.000000
